Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
LA NUVOLA ROSA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,BULOTTA,ERMINIA,I,MI,CORNAREDO,PIAZZETTA ALL'OLMO,IS,"PIAZZETTA ALL'OLMO,CORNAREDO,MI,I",45.4871337069048,9.01188317920701
LA NUVOLA - SOCIETA' COOPERATIVA SOCIALE - IMPRESA SOCIALE ONLUS,IMPRESE SOCIALI,DONZELLI,ROSANGELA,I,BS,ORZINUOVI,VIA CONVENTO AGUZZANO,IS,"VIA CONVENTO AGUZZANO,ORZINUOVI,BS,I",45.41641800052422,9.912349673818106
LA PACE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,TRIFONE,SIMONE,I,VA,VARESE,VIA CARCANO,IS,"VIA CARCANO,VARESE,VA,I",45.821369547125784,8.835332831238434
LA PANCHINA DELL'AMICIZIA DI GIO ODV,ORGANIZZAZIONI DI VOLONTARIATO,BRUFATTO,LARA,I,VA,GALLARATE,VIA CURTATONE,OV,"VIA CURTATONE,GALLARATE,VA,I",45.6765323540546,8.795152826188566
LA PAPESSA A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VOLPI,ANNAMARIA,I,MN,MANTOVA,VIA BRONZETTI,APS,"VIA BRONZETTI,MANTOVA,MN,I",45.15425908818777,10.795239772623317
LA PAROLA VERA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GALLO,GIOELE,I,MI,SAN VITTORE OLONA,VIA ROMA,APS,"VIA ROMA,SAN VITTORE OLONA,MI,I",45.589522512852064,8.934706133815626
LA PASSIONE DI YARA ODV,ORGANIZZAZIONI DI VOLONTARIATO,MAZZOLENI,IVO,I,BG,BERGAMO,VIA BROSETA,OV,"VIA BROSETA,BERGAMO,BG,I",45.69277673093025,9.66084529662754
L'APE GAIA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,COLOGNESE,MASSIMILIANO,I,MI,LEGNANO,VIA DEI SALICI,IS,"VIA DEI SALICI,LEGNANO,MI,I",45.596564280492636,8.887758999462378
LA PENTOLA D'ORO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CORTINOVIS,LARA,I,BG,ALZANO LOMBARDO,VIA G. MARCONI,APS,"VIA G. MARCONI,ALZANO LOMBARDO,BG,I",45.74037537376572,9.720633496770706
LA PERDIZIONE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRIGNOLE,GIULIA,I,MN,MONZAMBANO,VIA ORTAGLIA,APS,"VIA ORTAGLIA,MONZAMBANO,MN,I",45.362894517702316,10.683776682860604
LA PERPETUA - SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,MEDINA DE ALVINCO,NORMA,I,MI,MILANO,VIA BONCOMPAGNI CARLO,IS,"VIA BONCOMPAGNI CARLO,MILANO,MI,I",45.43879746223834,9.230865954611984
LA PICCIOLETTA BARCA ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GATTESCHI,BEATRICE,I,MI,MILANO,VIA ELBA,APS,"VIA ELBA,MILANO,MI,I",45.46390825180362,9.157139056721979
LA PIDUNS APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TARENZI,RAMONA,I,MI,BESATE,VIA MULINI,APS,"VIA MULINI,BESATE,MI,I",45.312474165680946,8.973612000705096
LA PIGNOLESE SOCIETA'  COOPERATIVA SOCIALE,IMPRESE SOCIALI,SCHIAVI,LUCA,I,BG,BERGAMO,VIA SANTA ELISABETTA,IS,"VIA SANTA ELISABETTA,BERGAMO,BG,I",45.6997593257411,9.673018786389848
LA PIRAMIDE LAVORO - SOCIETA' COOPERATIVA SOCIALE A RESPONSABILIT A' LIMITATA - ONLUS,IMPRESE SOCIALI,RIGAMONTI,CLAUDIO,I,MB,ARCORE,VIA TRENTO E TRIESTE,IS,"VIA TRENTO E TRIESTE,ARCORE,MB,I",45.62673899827994,9.32490224159199
LA PIRAMIDE SERVIZI - SOCIETA' COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,IMPRESE SOCIALI,CASIRAGHI,MARIA CARMEN,I,MB,ARCORE,VIA TRENTO TRIESTE,IS,"VIA TRENTO TRIESTE,ARCORE,MB,I",45.62673899827994,9.32490224159199
LAPIS - ASSOCIAZIONE GENITORI E AMICI DELLA SCUOLA PISACANE LOCATELLI ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MITTON,FEDERICA,I,MI,MILANO,VIA PISACANE,APS,"VIA PISACANE,MILANO,MI,I",45.472791781566336,9.211124857900748
LA PIUMA DI DUMBO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GRECO,GIADA ALESSANDRA,I,VA,CARONNO VARESINO,VIALE MILANO,APS,"VIALE MILANO,CARONNO VARESINO,VA,I",45.734703701713485,8.83238238782251
LA PIUMA MAGICA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PREMOLI,SILVIA,I,MI,MILANO,VIA DELLE FORZE ARMATE,APS,"VIA DELLE FORZE ARMATE,MILANO,MI,I",45.463333319330125,9.136751935254098
LA POLARE SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,TORREDIMARE,MICHELE,I,MI,MILANO,VIA BALDASSARRE OLTROCCHI,IS,"VIA BALDASSARRE OLTROCCHI,MILANO,MI,I",45.45536900480135,9.219018911146296
LA PORTA APERTA ODV,ORGANIZZAZIONI DI VOLONTARIATO,TURRI,DOMENICO,I,VA,BESNATE,VIA PARINI,OV,"VIA PARINI,BESNATE,VA,I",45.69741201348816,8.758471056605645
LA PORTAVERTA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELLINI,BEATRICE,I,VA,LAVENO-MOMBELLO,VIA BOSTANO,APS,"VIA BOSTANO,LAVENO-MOMBELLO,VA,I",45.88429191903979,8.622754636263268
L'APPRODO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZUCCHELLI,CLARA,I,CR,RIVOLTA D'ADDA,VIA RENZI,APS,"VIA RENZI,RIVOLTA D'ADDA,CR,I",45.470399579227305,9.51380052482114
L' APPRODO ODV,ORGANIZZAZIONI DI VOLONTARIATO,SUARDI,MARIAROSA,I,BG,CLUSONE,VIA G.MAZZINI,OV,"VIA G.MAZZINI,CLUSONE,BG,I",45.88933214149682,9.943108335747677
LA PRATERIA SOCIETA' COOPERATIVA SOCIALE ONLUS,IMPRESE SOCIALI,ROSCELLI,VALERIA,I,MI,PADERNO DUGNANO,VIA ERBA,IS,"VIA ERBA,PADERNO DUGNANO,MI,I",45.56928934821942,9.190251696247568
LA PREFERIBILE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FUMAGALLI,DANIELE LORENZO,I,LC,COSTA MASNAGA,VIA XXV APRILE,APS,"VIA XXV APRILE,COSTA MASNAGA,LC,I",45.7690308813371,9.274036944509099
LA PRIMA GOCCIA ORGANIZZAZIONE DI VOLONTARIATO (O ODV),ORGANIZZAZIONI DI VOLONTARIATO,GUZZETTI,LORENZA GIANCARLA,I,CO,TURATE,PIAZZA DELLA CHIESA,OV,"PIAZZA DELLA CHIESA,TURATE,CO,I",45.97977490993607,9.06488588185754
LA PRO CONCAGNO O.D.V.,ORGANIZZAZIONI DI VOLONTARIATO,FRANZI,ANGELA,I,CO,SOLBIATE CON CAGNO,VIA ALESSANDRO VOLTA,OV,"VIA ALESSANDRO VOLTA,SOLBIATE CON CAGNO,CO,I",45.80165586075411,8.912566766468803
LA PRO LOCO DI POMPONESCO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BROZZI,FRANCESCO,I,MN,POMPONESCO,PIAZZA XXIII APRILE,APS,"PIAZZA XXIII APRILE,POMPONESCO,MN,I",44.9272351897914,10.592126553222599
LA PRO LOCO MALGRATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VENTURA,FRANCESCO,I,LC,MALGRATE,VIA AGUDIO,APS,"VIA AGUDIO,MALGRATE,LC,I",45.85200379118682,9.374189040964197
