Codice fiscale,Repertorio,Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,Rete,Comune,Provincia,5x1000,Data iscrizione,Regione
3842350161,17610,1000 NOTE PER EDUCARE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,GRAZIOLI,MARIANNA,No,FARA GERA D'ADDA,BG,Si,21/03/2022,Lombardia
90031750178,128380,100CODINE - ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,SECHI,GIULIA,No,DARFO BOARIO TERME,BS,Si,19/02/2024,Lombardia
97469180158,50783,11 NOTE ETS,ALTRI ENTI DEL TERZO SETTORE,STELLA,MARIA GLORIA,No,MILANO,MI,No,27/09/2022,Lombardia
90039460168,37431,1 2 3 G.O. - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MERICI,ANGELO,No,GAZZANIGA,BG,Si,28/06/2022,Lombardia
98210030171,108285,1 CAMPER - ASSOCIAZIONE DI PROMOZIONE SOCIALE O APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MANZONI,MAURO,No,SAN GERVASIO BRESCIANO,BS,Si,14/07/2023,Lombardia
8864380962,23273,1 OUT SOCIETA' COOPERATIVA SOCIALE ONLUS,IMPRESE SOCIALI,BROCATO,ROBERTO,No,MILANO,MI,No,21/03/2022,Lombardia
95114030166,113069,2000 BIMBI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MOTTA,DAVIDE,No,PONTERANICA,BG,Si,06/07/2023,Lombardia
94018390131,36524,2000 PER TE ODV,ORGANIZZAZIONI DI VOLONTARIATO,CAVALERI,CRISTIANO,No,MISSAGLIA,LC,Si,24/06/2022,Lombardia
4157170137,138364,2004 ANDRATESE ASSOCIAZIONE SPORTIVA DILETTANTISTICA E DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,IACONIS,ROBERTO,No,FINO MORNASCO,CO,Si,16/07/2024,Lombardia
92566440159,119338,21 E.T.S.,ALTRI ENTI DEL TERZO SETTORE,CURTI,PIERPAOLO,No,LODI,LO,Si,05/08/2024,Lombardia
97854550155,109731,232 ASSOCIAZIONE DI PROMOZIONE SOCIALE (O APS),ASSOCIAZIONI DI PROMOZIONE SOCIALE,PIRILLO,LUDOVICA,No,MILANO,MI,No,07/04/2023,Lombardia
2887360168,13826,23/C ART SOCIETA' COOPERATIVA SOCIALE ONLUS,IMPRESE SOCIALI,FOGNINI,NELLI,No,BERGAMO,BG,Si,21/03/2022,Lombardia
95139750137,1463,25MAGGIO1907 A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MATARAZZO,FABIO,No,COMO,CO,Si,27/02/2023,Lombardia
90036700129,86309,26PER1 APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GRILLO,SIMONE,No,BUSTO ARSIZIO,VA,Si,07/11/2022,Lombardia
94060360156,36230,2NOVE9 ASSOCIAZIONE VITTIME INCIDENTI STRADALI - ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CANCEDDA,ROBERTO,No,MILANO,MI,Si,17/06/2022,Lombardia
3774630168,17404,360GRADI - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,VIANI,ROBERTO,No,CALVENZANO,BG,Si,21/03/2022,Lombardia
97555670153,111128,365GRADI ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CARMINATI,LUCA,No,MILANO,MI,Si,08/06/2023,Lombardia
92008980184,110803,3A ASSOCIAZIONE AMICI ANZIANI MORTARA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,CATTANEO,GIUSEPPE ,No,MORTARA,PV,Si,13/04/2023,Lombardia
3217310121,15159,3B COOPERATIVA SOCIALE - ONLUS - IN LIQUIDAZIONE - IN LIQUIDAZIONE COATTA AMMINISTRATIVA,IMPRESE SOCIALI,BOSCACCI,FABIO,No,VARESE,VA,No,21/03/2022,Lombardia
92029730121,122654,3 ELLE ENTE DEL TERZO SETTORE,ALTRI ENTI DEL TERZO SETTORE,MAESTRI,SARAH,No,DUMENZA,VA,No,20/11/2023,Lombardia
9328810966,23483,3OUT COOPERATIVA SOCIALE ONLUS IN LIQUIDAZIONE,IMPRESE SOCIALI,BROCATO,ROBERTO,No,MILANO,MI,No,21/03/2022,Lombardia
90009950198,100159,4 CATS - ODV,ORGANIZZAZIONI DI VOLONTARIATO,FONTANA,RENATA,No,TORRICELLA DEL PIZZO,CR,Si,09/02/2023,Lombardia
97893000154,1000,4CMP ACADEMY APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FELLA,CHIARA,No,MILANO,MI,Si,11/03/2022,Lombardia
3152030122,14911,4 EXODUS - SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,PAGLIUCA,MARCO,No,GALLARATE,VA,Si,21/03/2022,Lombardia
11312860965,102439,4F FOUR F FOR FRIENDS O.D.V.,ORGANIZZAZIONI DI VOLONTARIATO,VAI,CLAUDIO,No,ABBIATEGRASSO,MI,Si,16/02/2023,Lombardia
2390030209,10828,4 LUGLIO - SOCIETA' COOPERATIVA SOCIALE A R.L.,IMPRESE SOCIALI,BASSI,MORENO,No,SUZZARA,MN,No,21/03/2022,Lombardia
97672420151,90167,4 TUNNEL APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SURICO,IRMA,No,MILANO,MI,Si,21/12/2022,Lombardia
93070110205,108199,4 ZAMPE NEL CUORE ITALIA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,DOFFINI,DANIELA,No,SAN BENEDETTO PO,MN,Si,30/03/2023,Lombardia
94063630159,46652,50 GRAFFIATURE DI MICIO ODV,ORGANIZZAZIONI DI VOLONTARIATO,VERGANI,LAURA,No,CAVENAGO DI BRIANZA,MB,Si,08/08/2022,Lombardia
98102180175,98557,6...IN COMPAGNIA - ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BONETTA,MARIA,No,BRESCIA,BS,No,01/02/2023,Lombardia
96044310173,106968,6 LUGLIO - ENTE DEL TERZO SETTORE,ALTRI ENTI DEL TERZO SETTORE,ISEPPI,DIEGO,No,SAN FELICE DEL BENACO,BS,Si,16/05/2023,Lombardia
97939800153,107324,73GROUPMILANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RENDINA,ROCCO,No,CORMANO,MI,No,17/04/2023,Lombardia
98200710170,45609,7BELLO CARTAGIOCOFILIA ITALIANA - ASSOCIAZIONE DI PROMOZIONE SOCIALE O A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DONE',SWAMY,No,BRESCIA,BS,Si,26/08/2022,Lombardia
3616550129,16802,7 LAGHI COOPERATIVA SOCIALE,IMPRESE SOCIALI,FONTANA,ENZA,No,VARESE,VA,No,21/03/2022,Lombardia
3564120982,118612,7MILAMIGLIALONTANO ASSOCIAZIONE DI PROMOZIONE SOCIALE O A.P.S. E.T.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAZZOCCHI,BEATRICE,No,BRESCIA,BS,Si,03/08/2023,Lombardia
9488410961,23540,AAA ATTESOR COOPERATIVA SOCIALE,IMPRESE SOCIALI,MARCHETTA,MASSIMO,No,MONZA,MB,No,21/03/2022,Lombardia
9935020967,23701,AAA AURUM ASSISTANCE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,CESARO,MARIA ANTONIA,No,MASATE,MI,No,21/03/2022,Lombardia
